"year","no_property","featurenam","energy_tJ","CO2_offset_tonnes"
2011,2114,"Carlton",0.667346036245987,48.9418236062082
2012,2114,"Carlton",0.732158310525521,54.3752012477989
2013,2114,"Carlton",0.796970584805056,57.3133426356708
2014,2114,"Carlton",0.86178285908459,60.7858539655316
2015,2114,"Carlton",0.926595133364125,66.1588925221985
2016,2114,"Carlton",0.991407407643659,72.3876118691018
2017,2114,"Carlton",1.01690367393443,71.9825434631228
2018,2114,"Carlton",1.04239994022521,72.9638262160037
2019,2114,"Carlton",1.06789620651598,73.0056562622587
2020,2114,"Carlton",1.09339247280676,71.8577533128601
2021,2114,"Carlton",1.11888873909753,74.0603645296048
2011,138,"Docklands",0.798207053985817,58.5389089252119
2012,138,"Docklands",0.835924445937023,62.0816008264049
2013,138,"Docklands",0.873641837888229,62.8270791298941
2014,138,"Docklands",0.911359229839435,64.2827232767245
2015,138,"Docklands",0.94907662179064,67.7640707958517
2016,138,"Docklands",0.986794013741846,72.0507649133609
2017,138,"Docklands",1.00777788284632,71.3365652151598
2018,138,"Docklands",1.0287617519508,72.009207589548
2019,138,"Docklands",1.04974562105527,71.7648096378227
2020,138,"Docklands",1.07072949015975,70.3683420932987
2021,138,"Docklands",1.09171335926422,72.2615989630583
2011,865,"East Melbourne",0.622917180026986,45.6835001488191
2012,865,"East Melbourne",0.654401986900858,48.600472361166
2013,865,"East Melbourne",0.685886793774729,49.3248628875158
2014,865,"East Melbourne",0.7173716006486,50.599805851749
2015,865,"East Melbourne",0.748856407522471,53.4683474971044
2016,865,"East Melbourne",0.780341214396342,56.9766137691489
2017,865,"East Melbourne",0.796918146554726,56.4106479220228
2018,865,"East Melbourne",0.81349507871311,56.9414015296028
2019,865,"East Melbourne",0.830072010871494,56.7470429512188
2020,865,"East Melbourne",0.846648943029877,55.6417685359235
2021,865,"East Melbourne",0.863225875188261,57.1377839045862
2011,3269,"Kensington",0.214104213003573,15.701974773256
2012,3269,"Kensington",0.260743514831784,19.3646386160121
2013,3269,"Kensington",0.307382816659994,22.1051278772868
2014,3269,"Kensington",0.354022118488205,24.9709501275655
2015,3269,"Kensington",0.400661420316416,28.6072254105921
2016,3269,"Kensington",0.447300722144626,32.6596622273899
2017,3269,"Kensington",0.460410014900502,32.5905833147469
2018,3269,"Kensington",0.473519307656377,33.1444574587158
2019,3269,"Kensington",0.486628600412253,33.2678776385832
2020,3269,"Kensington",0.499737893168128,32.8427743390094
2021,3269,"Kensington",0.512847185924004,33.9458680834957
2011,1480,"Melbourne (CBD)",5.55781556181189,407.599077672161
2012,1480,"Melbourne (CBD)",5.75154764893159,427.150189243202
2013,1480,"Melbourne (CBD)",5.94527973605128,427.548846938392
2014,1480,"Melbourne (CBD)",6.13901182317097,433.015198947365
2015,1480,"Melbourne (CBD)",6.33274391029066,452.157915194754
2016,1480,"Melbourne (CBD)",6.52647599741036,476.530644950917
2017,1480,"Melbourne (CBD)",6.65473706817722,471.062218107992
2018,1480,"Melbourne (CBD)",6.78299813894407,474.782737733529
2019,1480,"Melbourne (CBD)",6.91125920971093,472.481324612678
2020,1480,"Melbourne (CBD)",7.03952028047779,462.637272833
2021,1480,"Melbourne (CBD)",7.16778135124464,474.442615420234
2011,63,"Melbourne (Remainder)",0.522901183040519,38.3485269618256
2012,63,"Melbourne (Remainder)",0.544795210054734,40.4603058651349
2013,63,"Melbourne (Remainder)",0.566689237068948,40.7528897945763
2014,63,"Melbourne (Remainder)",0.588583264083162,41.5157205321059
2015,63,"Melbourne (Remainder)",0.610477291097377,43.5880785843527
2016,63,"Melbourne (Remainder)",0.632371318111591,46.1725917919178
2017,63,"Melbourne (Remainder)",0.648255354029003,45.887403490297
2018,63,"Melbourne (Remainder)",0.664139389946414,46.4871007386892
2019,63,"Melbourne (Remainder)",0.680023425863826,46.4891214857546
2020,63,"Melbourne (Remainder)",0.695907461781238,45.7350383882629
2021,63,"Melbourne (Remainder)",0.711791497698649,47.1141910241713
2011,2636,"North Melbourne",0.459939655349152,33.7310544439961
2012,2636,"North Melbourne",0.516572362294112,38.3642796304968
2013,2636,"North Melbourne",0.573205069239071,41.2214693492586
2014,2636,"North Melbourne",0.629837776184031,44.4256075431406
2015,2636,"North Melbourne",0.68647048312899,49.0139924954099
2016,2636,"North Melbourne",0.743103190073949,54.2576794232494
2017,2636,"North Melbourne",0.763959081668,54.0776075549511
2018,2636,"North Melbourne",0.784814973262051,54.9339088684505
2019,2636,"North Melbourne",0.805670864856101,55.0788830050225
2020,2636,"North Melbourne",0.826526756450152,54.319338433904
2021,2636,"North Melbourne",0.847382648044203,56.0891048566938
2011,815,"Parkville",0.855098002867743,62.7111773343145
