"Year","Age_category","SA2.name","Gender","Population_Count","CO2_generated_ML_yr","CO2_generated_tonnes_yr"
2012,"Adult","Carlton","M",5630,1375.99452,2724.4691496
2011,"Adult","Port Melbourne","M",36,8.798544,17.42111712
2012,"Adult","Carlton","F",6044,1153.1516832,2283.240332736
2011,"Adult","Port Melbourne","F",16,3.0526848,6.044315904
2011,"Adult","Port Melbourne","F",5337,1018.2611736,2016.157123728
2011,"Adult","South Yarra","F",2169,413.8295832,819.382574736
2012,"Adult","Carlton","A",11674,2540.2437216,5029.682568768
2011,"Adult","Port Melbourne","A",52,11.3151168,22.403931264
2011,"Adult","Port Melbourne","A",10307,2242.7867088,4440.717683424
2011,"Adult","South Yarra","A",4252,925.2283968,1831.952225664
2012,"Adult","Docklands","M",2914,712.193256,1410.14264688
2011,"Adult","Melbourne (CBD)","M",2672,653.047488,1293.03402624
2011,"Adult","Melbourne (CBD)","M",3401,831.218004,1645.81164792
2011,"Adult","West Melbourne (Industrial)","M",0,0,0
2012,"Adult","Docklands","F",2576,491.4822528,973.134860544
2011,"Adult","Melbourne (CBD)","F",2657,506.9364696,1003.734209808
2011,"Adult","Melbourne (CBD)","F",3125,596.2275,1180.53045
2011,"Adult","West Melbourne (Industrial)","F",0,0,0
2012,"Adult","Docklands","A",5490,1194.615216,2365.33812768
2011,"Adult","Melbourne (CBD)","A",5329,1159.5818736,2295.972109728
2011,"Adult","Melbourne (CBD)","A",6526,1420.0471584,2811.693373632
2011,"Adult","West Melbourne (Industrial)","A",0,0,0
2012,"Adult","East Melbourne","M",1803,440.660412,872.50761576
2011,"Adult","Melbourne (CBD)","M",3366,822.663864,1628.87445072
2011,"Adult","Carlton","M",5551,1356.686604,2686.23947592
2012,"Adult","Melbourne (Remainder)","F",0,0,0
2012,"Adult","East Melbourne","F",1925,367.27614,727.2067572
2011,"Adult","Melbourne (CBD)","F",3139,598.8985992,1185.819226416
2011,"Adult","Carlton","F",5954,1135.9803312,2249.241055776
2012,"Adult","Melbourne (Remainder)","A",0,0,0
2012,"Adult","East Melbourne","A",3728,811.2068352,1606.189533696
2011,"Adult","Melbourne (CBD)","A",6505,1415.477592,2802.64563216
2011,"Adult","Carlton","A",11505,2503.469592,4956.86979216
