"featurenam","located_in","sum_CLUEArea_CO2offset_tonnes","no_trees"
"Carlton","Park",18.0968691322478,2608
"Carlton","Street",7.07022990756033,2917
"Docklands","Park",9.1879370505969,3035
"Docklands","Street",4.64352518541312,2512
"East Melbourne","Park",12.3923076303544,2146
"East Melbourne","Street",3.89222252086486,1780
"Kensington","Park",8.29234734110362,2998
"Kensington","Street",7.8695992784431,3188
"Melbourne (CBD)","Park",0.322672881643316,189
"Melbourne (CBD)","Street",3.97246392529468,1827
"Melbourne (Remainder)","Park",88.8452505208366,4238
"Melbourne (Remainder)","Street",1.82199055821752,868
"North Melbourne","Park",1.30664673227036,682
"North Melbourne","Street",5.55274237780946,3242
"Parkville","Park",41.9081615370606,23583
"Parkville","Street",48.5709048474306,3249
"Port Melbourne","Street",4.95344092213591,1351
"South Yarra","Park",121.076829784161,1439
"South Yarra","Street",1.32995859682615,779
"Southbank","Park",0.761439710121264,446
"Southbank","Street",7.60255399745037,1516
"West Melbourne (Industrial)","Park",4.44059346642468,2601
"West Melbourne (Industrial)","Street",2.92112857403023,1711
"West Melbourne (Residential)","Park",2.07205302721067,382
"West Melbourne (Residential)","Street",2.86139394871859,1310
